00005314Susan     Garcia    4032004055935885050 Park Avenue, Toronto, QC, T5K 1F9                   :8
63735853Sarah     Perez     4031007167585685284 University Drive, Toronto, QC, G5L 0W4              :8
63738276Steven    Taylor    2035009056316653423 College Blvd, Vancouver, QC, D9E 9F6                :8
63742833Carol     Clark     2015003527235717587 Oak Street, Montreal, QC, D8Z 6S8                   :8
63756866Amanda    Williams  3033001357788157422 Park Avenue, Calgary, QC, V4R 1L1                   :8
63757541Jennifer  Torres    2032005375829629562 Main St, Edmonton, QC, U7Q 3V6                      :16
63758454Amanda    Walker    3035005764842173674 First Ave, Calgary, QC, G0H 4T9                     :16
63767351Lisa      Johnson   1021005537312633252 Student Lane, Montreal, QC, H4M 8R3                 :8
63769416Sandra    White     3032003285715058978 Main St, Toronto, QC, F5A 1Q4                       :8
63769983Brian     Flores    3012000632836036401 Maple Road, Toronto, QC, U6P 2V1                    :8
63772054Kevin     Sanchez   2024004002388841101 College Blvd, Edmonton, QC, E3H 9P1                 :8
63775152John      Thompson  3023003444091672642 Park Avenue, Toronto, QC, W5G 9R6                   :16
63781352William   Lee       1026000545158389255 Oak Street, Calgary, QC, I5M 1Z8                    :16
63783715Susan     White     1024001405955182567 First Ave, Edmonton, QC, J1C 6Z8                    :8
63787655John      Moore     2015002087577741377 Park Avenue, Edmonton, QC, R3N 5E5                  :16
63791099Robert    Taylor    4022007278465431004 Maple Road, Ottawa, QC, V5V 3F2                     :16
63792176Melissa   Brown     3011000662410646527 Campus Road, Calgary, QC, X9K 6Y2                   :16
63799588Jane      Nguyen    1031004788882037550 Main St, Vancouver, QC, W4D 2W3                     :8
63801465Sandra    Davis     1036005723607846289 Campus Road, Toronto, QC, U6C 2G5                   :8
63802564Linda     Smith     1023007042842928550 First Ave, Vancouver, QC, S6O 3X5                   :8
63810162Jennifer  Taylor    2025006597961119541 Oak Street, Montreal, QC, U6Y 9W1                   :8
63825203Michael   Allen     4036001113010076940 Campus Road, Edmonton, QC, A3J 0A8                  :8
63827718Maria     Brown     4021006058438966202 Student Lane, Calgary, QC, P1G 5Y0                  :8
63832130Brian     Harris    4025003447605796781 University Drive, Montreal, QC, F3C 1D9             :16
63835273Carol     Allen     1026009760977375675 College Blvd, Ottawa, QC, J9V 6T4                   :8
63836434Rebecca   Thompson  4021002310472415492 Student Lane, Toronto, QC, X4F 3D2                  :8
63847479Linda     Garcia    4022008456846896405 College Blvd, Edmonton, QC, F6B 5P7                 :8
63848302Rebecca   Thomas    1011002833828393325 University Drive, Calgary, QC, M9M 1L9              :8
63861191Steven    Torres    2022000596410519262 Main St, Vancouver, QC, V7X 4S9                     :8
63869798Amanda    Perez     3032003781668433140 Oak Street, Calgary, QC, A6K 2T3                    :16
63872036George    Taylor    3012007677032133914 College Blvd, Vancouver, QC, Q6K 7D2                :8
63874705Lisa      Lewis     2021008151773652009 University Drive, Montreal, QC, X4T 2D2             :8
63881804Michael   White     3035005641793035761 College Blvd, Montreal, QC, Z3D 1X8                 :8
63882398Joshua    Johnson   4015007782796998733 University Drive, Toronto, QC, A6V 3Y7              :8
63886519James     Jackson   2015006716758076330 Main St, Ottawa, QC, O8L 2T5                        :16
63887024Jane      Garcia    2016003753964574069 College Blvd, Ottawa, QC, X9Z 5L8                   :24
63893535Emily     Wright    2021004050763411610 College Blvd, Montreal, QC, G3A 4W0                 :16
63894567Charles   Lee       4032007268877371356 Maple Road, Toronto, QC, G3R 5P4                    :8
63895841Brian     Smith     4032003455047163859 Oak Street, Toronto, QC, L4G 9Z3                    :8
63905187Brian     Clark     4024008668638608359 College Blvd, Edmonton, QC, Y3G 3X9                 :8
63906854Jennifer  Miller    4024008499531473065 Oak Street, Ottawa, QC, S7E 7A6                     :16
63915879John      Brown     4011009027861839863 College Blvd, Ottawa, QC, B6C 1G7                   :16
63918234Susan     Wright    2034008769160985629 Park Avenue, Montreal, QC, C8E 2Y4                  :16
63929673Michelle  Thompson  1011004201546292963 First Ave, Edmonton, QC, M8W 7V6                    :8
63932794Sandra    Nguyen    2023004185112951156 Maple Road, Ottawa, QC, Y5E 7Y8                     :8
63937010Brian     Garcia    4015007510207714954 Maple Road, Toronto, QC, H2H 1M9                    :8
63938910Edward    Brown     4024002693397762527 Campus Road, Montreal, QC, C7G 4K3                  :16
63939995Brian     Clark     2026001182105413482 Campus Road, Montreal, QC, Z7R 2M7                  :8
63940441David     Lewis     2032006071021511589 First Ave, Calgary, QC, O9B 8W1                     :8
63941411Susan     Williams  2031005781830738378 Park Avenue, Montreal, QC, L6Z 0S5                  :8
63950175Kevin     Moore     4023008451539874373 Campus Road, Ottawa, QC, L9K 3E7                    :8
63953667Charles   Scott     2022009365725656935 Campus Road, Edmonton, QC, B9K 4Z6                  :8
63953791Donna     White     3023005714020806052 Maple Road, Toronto, QC, W3V 6I8                    :8
63957782Charles   White     2024005690934472378 Oak Street, Vancouver, QC, A8L 8E7                  :8
63961654Linda     Wright    1025005413615519642 Park Avenue, Vancouver, QC, J8I 3E6                 :8
63962609Edward    Williams  1012003783478822729 Oak Street, Toronto, QC, X1P 2F3                    :24
63963017Laura     Nguyen    3034002010628196417 College Blvd, Vancouver, QC, N3Z 7N1                :24
63967173Lisa      Nguyen    1022002120236784599 Oak Street, Toronto, QC, L5H 2W1                    :8
63967918Edward    King      3032003091455502462 University Drive, Toronto, QC, I6D 8F8              :8
63968497Melissa   Wright    3014004586229946966 Maple Road, Calgary, QC, Y5T 2W2                    :8
63972812Maria     Scott     4014002131320952584 Maple Road, Vancouver, QC, N8G 8G1                  :16
63973984Edward    Jones     3016007169157782466 First Ave, Edmonton, QC, T0U 5K0                    :8
63982066George    Johnson   4034006157234515362 Maple Road, Montreal, QC, Q3Z 0W3                   :8
63995085Kevin     Flores    2026003932756222766 Maple Road, Montreal, QC, N6B 4J6                   :8
63995580Maria     Moore     2014006446497575576 First Ave, Vancouver, QC, C7T 3P8                   :24
64000187Paul      Nguyen    2032001429089131756 College Blvd, Ottawa, QC, E7I 1K5                   :8
64004809James     White     3035001779480835190 First Ave, Calgary, QC, Y4C 0T2                     :8
64005174Michael   Moore     2012003565141002190 Park Avenue, Edmonton, QC, R2Z 5T0                  :8
64009661Amanda    Flores    1025006411345309291 Student Lane, Edmonton, QC, C6A 1K8                 :8
64010270Jennifer  Ramirez   3014002752382201592 Maple Road, Calgary, QC, K6Z 5U4                    :8
64010383Robert    Walker    3025006417575418370 Oak Street, Ottawa, QC, W9M 6L3                     :16
64011235Amanda    Allen     1016000906078974906 College Blvd, Ottawa, QC, Q0Z 4C6                   :8
64014825Michael   Smith     4035007023773818891 First Ave, Edmonton, QC, E7I 7H2                    :8
64028117John      Brown     4032004657215411089 Campus Road, Toronto, QC, O6J 8M6                   :16
64028489David     Robinson  2024004048354708563 University Drive, Ottawa, QC, A7K 2D5               :16
64028965James     Smith     4013002492090142602 Oak Street, Toronto, QC, B8X 2F6                    :16
64038346Edward    Harris    3021005101385087454 College Blvd, Ottawa, QC, Z7P 8X1                   :16
64039989George    Sanchez   2014009835372218516 First Ave, Ottawa, QC, Z0L 9Q7                      :8
64055496Emily     Garcia    1034003240011596901 Student Lane, Edmonton, QC, J6B 7W0                 :24
64058214Donna     Moore     2013009065183488709 Student Lane, Vancouver, QC, Z4Y 9J9                :8
64062108Donna     Walker    1015008049725287187 University Drive, Edmonton, QC, T7H 4D6             :8
64064994Kevin     Ramirez   3024007851436086994 College Blvd, Ottawa, QC, B2Y 2V9                   :8
64070569David     Allen     4013001049016353408 Oak Street, Montreal, QC, Z3E 4K8                   :8
64072486Maria     Taylor    1012004590371071738 Campus Road, Montreal, QC, S7J 0F3                  :8
64088323Michael   Williams  2015003798327059165 First Ave, Vancouver, QC, M7P 5V5                   :8
64098276Michelle  Ramirez   2014005459851481824 First Ave, Montreal, QC, P1D 6A0                    :8
64100508Carol     Williams  1025006448676223875 University Drive, Calgary, QC, J6O 0Y4              :8
64100968Linda     Jones     1014000292928526591 Student Lane, Ottawa, QC, C7V 0Z1                   :8
64109166Kevin     Miller    3025000817385412050 Park Avenue, Montreal, QC, K7P 0S7                  :8
64109676Maria     Thompson  1016003900603445123 University Drive, Montreal, QC, I1Q 1Y2             :16
64113698Thomas    Ramirez   1025004940655788269 Student Lane, Ottawa, QC, B0C 6E0                   :8
64115905Steven    Scott     2035007407094604645 First Ave, Vancouver, QC, J6D 7R1                   :8
64118042Joshua    Thomas    1023004774099849602 Maple Road, Calgary, QC, Q9M 8V8                    :8
64119021Maria     Moore     1025007916089529416 Main St, Toronto, QC, Q5V 3Y7                       :8
64120536Rebecca   Perez     2015004118856322999 Oak Street, Edmonton, QC, P8L 9S2                   :8
64120805Maria     Torres    4021007818323195035 Maple Road, Ottawa, QC, H2S 3Y5                     :16
64124919Steven    Brown     4022002334135589345 First Ave, Montreal, QC, U0P 3C5                    :8
64127071Susan     Thompson  4021008201827231574 College Blvd, Toronto, QC, B4C 2D7                  :8
64131867Michelle  Moore     4012007361882881467 College Blvd, Montreal, QC, N4G 1B3                 :8
64133331Thomas    Miller    3025009091411825389 College Blvd, Calgary, QC, I1S 0U2                  :8
64139579William   Clark     3015007696202122514 College Blvd, Vancouver, QC, X3O 9Q6                :8
64142958John      Sanchez   4035004490553921807 Oak Street, Toronto, QC, U1Y 9M3                    :16
64164809James     Brown     2014004140798529915 Student Lane, Calgary, QC, A2U 7X0                  :8
64165070Maria     Lee       2032007667472537140 College Blvd, Vancouver, QC, O5K 5A2                :24
64167312Sandra    White     2014000917060114883 First Ave, Toronto, QC, T7I 1A0                     :8
64168081James     Walker    3023006290461334278 Oak Street, Toronto, QC, U5X 9V1                    :24
64172234Donna     Wright    1033003750619982598 Oak Street, Calgary, QC, G7E 0W9                    :8
64177737Carol     Lewis     3016008961638824485 First Ave, Calgary, QC, V6M 4O3                     :8
64193048Carol     Clark     3035004582546118599 Student Lane, Montreal, QC, I0W 4J3                 :16
64194358Sandra    Hill      4011001181561485255 Student Lane, Montreal, QC, F8H 0Q8                 :8
64199241Jane      Scott     3022005357012026171 University Drive, Edmonton, QC, B3J 8Z4             :16
64200171Laura     Garcia    4012000475491368965 Oak Street, Calgary, QC, Z9L 3R7                    :16
64204098William   Harris    2036004886161509672 Main St, Toronto, QC, C9Z 4Z3                       :8
64210683David     Davis     4013009194803851624 First Ave, Toronto, QC, P3F 5O1                     :8
64212437Amanda    Brown     4033009846978291144 Park Avenue, Montreal, QC, N1V 4C9                  :8
64215652Charles   Miller    1023002265926829173 Maple Road, Montreal, QC, V9M 8S6                   :8
64222346Charles   Taylor    1035008273504469889 Student Lane, Edmonton, QC, T8T 1W7                 :8
64226385Thomas    Perez     4031000780953519694 Main St, Ottawa, QC, T1Y 0Q3                        :8
64238576Edward    Harris    3016009905524235855 College Blvd, Montreal, QC, J8G 2P1                 :8
64242865George    Sanchez   3036001925901066975 Oak Street, Calgary, QC, Q7N 8M2                    :8
64243745Emily     Lee       3034009261428649951 Student Lane, Calgary, QC, M3A 6D9                  :8
64246603Robert    Thomas    1011007441490329829 Park Avenue, Calgary, QC, P4R 1J7                   :16
64252365Melissa   Garcia    2013000871521558968 Park Avenue, Montreal, QC, I9N 9Y3                  :8
64261585Andrew    Nguyen    1035003848977534028 Campus Road, Montreal, QC, I0O 3O2                  :16
64262478Amanda    Thomas    3033002419929494597 Oak Street, Ottawa, QC, C3Q 0D5                     :8
64266930Sarah     Young     2011000807999167324 Student Lane, Toronto, QC, E0Q 7K3                  :8
64276457Maria     Garcia    4015005394827947164 Main St, Calgary, QC, D9B 7C2                       :8
64279650Sarah     Thompson  1036007071243479907 Oak Street, Calgary, QC, E5Q 0K6                    :8
64287002Joshua    Sanchez   1035003023488263676 College Blvd, Toronto, QC, J7B 9R1                  :8
64287681Brian     King      4011002636314866992 Maple Road, Edmonton, QC, Z0W 5K8                   :8
64298442Andrew    Ramirez   1015005104101366804 Main St, Edmonton, QC, I8M 1G4                      :16
64298845Donna     Jones     3014003432422314894 University Drive, Ottawa, QC, X7J 9F6               :32
64307064Carol     Nguyen    2033001409764947020 Student Lane, Toronto, QC, H5B 6F0                  :16
64307272Robert    Jones     3032008149420935980 Main St, Edmonton, QC, P5W 5W0                      :8
64308009Thomas    Wright    1024005041932461816 Campus Road, Montreal, QC, R9M 3Z0                  :8
64311284Maria     Brown     2024005231724417360 Campus Road, Montreal, QC, K5O 5U1                  :8
64318742Michael   Flores    1026003556128323448 Park Avenue, Ottawa, QC, N5Z 5X9                    :8
64322610Amanda    Williams  2023002673601264022 Maple Road, Montreal, QC, O7Q 1P4                   :16
64324205Susan     Williams  4015007268694673907 University Drive, Vancouver, QC, M1U 3J6            :8
64326908Jennifer  Thomas    1036003148024692964 Main St, Edmonton, QC, N2Q 9I9                      :8
64330663Amanda    Garcia    2033001281797719363 Main St, Montreal, QC, O3Z 2F3                      :8
64332125Emily     Young     3021002337372487232 Main St, Vancouver, QC, T6B 6B4                     :8
64342298Edward    Moore     4031009674999871086 First Ave, Montreal, QC, A5V 2M9                    :24
64344399Donna     Williams  1024005966470693453 Student Lane, Vancouver, QC, A2T 5T2                :8
64346618Charles   Martin    4012000008012627397 Park Avenue, Calgary, QC, E8G 2O0                   :8
64360628Lisa      Lewis     1015003624817352996 First Ave, Ottawa, QC, D2O 0V5                      :16
64372011Edward    White     1033004167363112698 Park Avenue, Edmonton, QC, K8V 6V3                  :16
64375841Brian     White     1016002491372989795 College Blvd, Ottawa, QC, H9H 0N9                   :8
64377503Maria     Davis     3035009889055926455 Campus Road, Vancouver, QC, U1N 3B4                 :8
64379818Steven    Brown     3015005535506325398 Maple Road, Montreal, QC, O3Y 0Z5                   :8
64385436Paul      Moore     2013002673732325156 Oak Street, Edmonton, QC, B0V 2L0                   :8
64395834Kevin     Torres    2012005452539278072 Student Lane, Toronto, QC, P8Z 2K2                  :8
64397645Jane      Johnson   1031000491629759309 Oak Street, Edmonton, QC, F7I 1J4                   :16
64402770Joshua    King      1011001551233937679 Maple Road, Edmonton, QC, T1K 8J4                   :8
64404321Maria     Lewis     2031002783167956696 Oak Street, Edmonton, QC, G6V 8E7                   :8
64406131William   Miller    1022009482258887376 Student Lane, Edmonton, QC, H9X 0M1                 :8
64421632William   Walker    2013009450006297993 Campus Road, Vancouver, QC, W0A 6E9                 :24
64434610Michael   Miller    4016001404253628833 Maple Road, Ottawa, QC, I1E 0V1                     :16
64434729Linda     Harris    1011004930242316665 Main St, Toronto, QC, R0Q 9A2                       :8
64435920Edward    Wright    3022007738500318162 Main St, Montreal, QC, T0C 4U2                      :24
64436081Amanda    Garcia    4033007640574921712 Main St, Vancouver, QC, V5N 2E5                     :24
64436613James     Allen     1013001625213149522 Oak Street, Edmonton, QC, P9A 3S9                   :8
64437003Robert    Allen     2032006803126903953 First Ave, Edmonton, QC, D3N 0X5                    :8
64439788Robert    White     1011003575219182668 First Ave, Vancouver, QC, J8L 4U0                   :16
64442976Maria     Moore     1021008548983516564 Student Lane, Ottawa, QC, G1L 4P0                   :8
64445540William   Perez     4023000191032937102 Student Lane, Vancouver, QC, J0A 8B2                :16
64451649Edward    Williams  3034006820500918136 University Drive, Calgary, QC, O7S 9W6              :8
64453423George    King      1025001657434262132 Park Avenue, Montreal, QC, R2G 4C9                  :8
64460964Jane      Thomas    3023002722417868945 Park Avenue, Edmonton, QC, O0F 5B3                  :8
64463400Kevin     Hill      4024002800102074188 Park Avenue, Ottawa, QC, A1F 1I3                    :8
64467921Charles   Nguyen    1015000792093978681 Park Avenue, Edmonton, QC, C8Z 6M9                  :16
64474104Melissa   Martin    1016000333280058292 University Drive, Ottawa, QC, T6Q 6Y2               :8
64474945James     Perez     1022000467551202051 Oak Street, Toronto, QC, K2P 5B5                    :8
64479333Melissa   Clark     4025009731515083776 Oak Street, Vancouver, QC, H8J 7F7                  :8
64481121Rebecca   Jones     4024006757757713434 Main St, Calgary, QC, T2K 3G5                       :16
64481349Andrew    Taylor    3032000751472443210 College Blvd, Montreal, QC, S4Z 7N6                 :16
64481437Steven    Brown     4012002738835709180 Campus Road, Vancouver, QC, P4J 4K7                 :16
64496583Laura     Walker    3014000323313413421 First Ave, Montreal, QC, Q9D 8X3                    :16
64504071John      Walker    4011004311266801694 College Blvd, Edmonton, QC, I2G 5W9                 :8
64504703Sandra    Williams  1012001351713253600 Student Lane, Ottawa, QC, E7A 1N5                   :16
64515046Linda     Moore     3011002101515575517 Main St, Calgary, QC, A9X 1I9                       :8
64516020Maria     Moore     2016004962297443032 Park Avenue, Edmonton, QC, V2S 9O5                  :8
64528042Edward    Garcia    1011006878747482611 Student Lane, Montreal, QC, R8Y 7L5                 :8
64528601Carol     Ramirez   2033001058358193618 First Ave, Edmonton, QC, Z5O 9O4                    :8
64542601Brian     Sanchez   2012003665509668685 Maple Road, Calgary, QC, Q8F 3T8                    :8
64543866Paul      Nguyen    1034000693511033163 Maple Road, Calgary, QC, V9H 6N9                    :8
64549945Susan     Torres    3035001859773714057 Oak Street, Calgary, QC, A6N 2L1                    :16
64550400Brian     Thomas    1026009333511197490 First Ave, Montreal, QC, C1P 8E8                    :24
64552294Jane      Jackson   3031009811878217746 Maple Road, Ottawa, QC, O3K 3C4                     :8
64563934Jennifer  Thompson  1016006284121777409 University Drive, Calgary, QC, J2X 8Z1              :8
64564251Robert    Torres    3036009044381967714 Maple Road, Edmonton, QC, M0N 5G9                   :8
64567360Amanda    King      1026008379227138675 Campus Road, Montreal, QC, Q9G 7L4                  :16
64571928Maria     Johnson   2011009418553919183 Student Lane, Ottawa, QC, D3Q 0Y1                   :8
64575366Robert    Brown     3034003788554616119 Campus Road, Ottawa, QC, V3D 5S7                    :8
64586169Steven    Lee       3033004782115775752 College Blvd, Toronto, QC, Y9O 1B9                  :8
64586946Paul      Scott     4011004940879688440 Campus Road, Vancouver, QC, E2X 1N3                 :8
64587909Kevin     Jackson   4014005974334442360 Park Avenue, Edmonton, QC, Z7A 0N1                  :8
64593617Sandra    Nguyen    2024009839258692513 Oak Street, Vancouver, QC, U2V 9O0                  :8
64608040Rebecca   Jackson   2012005136780811909 First Ave, Toronto, QC, K3U 6D0                     :16
64610107Steven    Ramirez   3032004174141185655 Park Avenue, Ottawa, QC, O6S 0F0                    :16
64612378Linda     Lewis     2021006759089067125 Student Lane, Edmonton, QC, F1S 9P6                 :8
64613634Paul      Perez     2031001375130645157 Main St, Edmonton, QC, L8B 2F2                      :8
64613980Michael   Clark     1032006902840394450 Park Avenue, Toronto, QC, M5K 8F5                   :16
64615817Andrew    Perez     1013000999707997104 University Drive, Edmonton, QC, C3I 9O6             :16
64625982Susan     Brown     4011003762149708100 University Drive, Edmonton, QC, I0N 2K7             :8
64627047Jennifer  Martin    2026009534981151142 Main St, Ottawa, QC, Z4Y 5J2                        :8
64633208Brian     Allen     2016002667878682785 Oak Street, Toronto, QC, F8H 4J5                    :8
64638668Laura     Lewis     1021003663656294126 University Drive, Calgary, QC, H1D 6Y8              :8
64648330Steven    Moore     1026005948107799823 First Ave, Vancouver, QC, H6T 6B6                   :16
64649748Amanda    Taylor    4024005568441688286 University Drive, Ottawa, QC, E8R 4V4               :16
64651995Andrew    Thompson  2013001050855281519 Main St, Toronto, QC, R6W 3K1                       :16
64655992Michael   Wright    2023007506373123612 Main St, Ottawa, QC, U5K 5A2                        :8
64661058Joshua    Jones     4021009234442448269 Student Lane, Toronto, QC, U5J 6U4                  :16
64667879Brian     Thompson  3012007392636828369 Student Lane, Montreal, QC, X7D 3V9                 :8
64668886Michael   Robinson  3032001754751741870 Campus Road, Calgary, QC, D4Z 6L8                   :8
64675895John      Garcia    4034000655436483001 Student Lane, Toronto, QC, W0W 6X0                  :8
64686522James     Jackson   2022004818955721551 Campus Road, Vancouver, QC, D2Z 5R6                 :8
64692626Robert    Young     1033002930462359425 University Drive, Vancouver, QC, R1W 8J9            :16
64692635Maria     Smith     2013001596089548607 Park Avenue, Edmonton, QC, W1L 9O6                  :16
64698918Michael   Thomas    2036006946692437239 Oak Street, Calgary, QC, N5Y 5A6                    :8
64715499Maria     Thomas    1032002738986869233 Park Avenue, Calgary, QC, W0T 9V7                   :16
64716080Sandra    Miller    3024006515779309239 Campus Road, Edmonton, QC, T1X 6D5                  :8
64726449Jennifer  Moore     3012005660179443509 First Ave, Vancouver, QC, A3M 7M9                   :8
64729203Robert    Sanchez   1021002019076689145 College Blvd, Edmonton, QC, W8G 6R2                 :8
64740144Edward    Lee       2022005705702764484 Oak Street, Montreal, QC, R8U 2M3                   :8
64744882George    Williams  1015008487033307105 Student Lane, Vancouver, QC, V1O 5F5                :8
64755482Emily     Thomas    2023002173919715796 Maple Road, Ottawa, QC, K0W 4H1                     :8
64756737John      Harris    3033005562891352878 First Ave, Toronto, QC, R3K 0Z5                     :8
64763095Rebecca   Lewis     2013007944423431900 Student Lane, Montreal, QC, Z8Y 2F8                 :16
64764345Susan     Thomas    2036005519315074990 Maple Road, Toronto, QC, F2U 6H8                    :8
64766121Amanda    Allen     3022005434850389570 Park Avenue, Calgary, QC, C8P 7B2                   :8
64766704Emily     Robinson  3032009168985888242 Park Avenue, Edmonton, QC, A0E 9B0                  :8
64787685Sarah     Allen     1033008591913047624 Park Avenue, Edmonton, QC, Q8X 2O1                  :16
64791204John      Williams  3033007129436878837 Park Avenue, Ottawa, QC, E8Y 6C2                    :24
64798118Michael   Jones     3023000185245649701 Main St, Ottawa, QC, P4G 1N9                        :8
64798136Emily     Moore     3036004469586031761 Maple Road, Ottawa, QC, D5Y 9W6                     :8
64808893Edward    Wright    3032001490698308294 First Ave, Edmonton, QC, M2V 3T1                    :8
64821045Edward    Lee       4031002395108976966 First Ave, Ottawa, QC, P6E 1J8                      :8
64830875David     Williams  1016008376396129202 College Blvd, Ottawa, QC, B2G 2P3                   :24
64833165Emily     Robinson  2035003291370762160 University Drive, Toronto, QC, K7B 2C6              :16
64834885John      Clark     3026007598252829677 University Drive, Montreal, QC, V6D 6P8             :16
64835801Jane      Torres    1034001656223728424 University Drive, Toronto, QC, S1J 1C9              :8
64843324Laura     Garcia    1022008292308206400 Oak Street, Edmonton, QC, W6C 2R4                   :24
64847873Linda     Miller    2034003222705066569 University Drive, Ottawa, QC, C4Y 7V2               :16
64858170Emily     Sanchez   2023004731775808109 University Drive, Toronto, QC, I6E 5J3              :16
64860560Sarah     Wright    1015002920877876686 Main St, Montreal, QC, V2Y 5T1                      :16
64864347James     White     1031006453360808944 First Ave, Edmonton, QC, F1K 7U4                    :8
64880519Sarah     Ramirez   2035006537313906842 Campus Road, Ottawa, QC, D8E 4V7                    :16
64881993Melissa   Walker    4025001321019847217 Student Lane, Edmonton, QC, O4D 2Y0                 :8
64889781Kevin     Williams  4021003749461309536 First Ave, Calgary, QC, E5D 7Q2                     :16
64894646Sarah     Sanchez   4012004051689193040 Oak Street, Toronto, QC, I9R 4Y4                    :16
64895033Lisa      Ramirez   3036006762901307176 Student Lane, Ottawa, QC, N7O 2I8                   :8
64898163Melissa   Robinson  3013002836258141340 Park Avenue, Vancouver, QC, M9L 2Y0                 :8
64900080Thomas    Ramirez   3036009071770008931 Park Avenue, Vancouver, QC, H5Q 5E3                 :16
64903275Melissa   Clark     4011002495698668887 Student Lane, Calgary, QC, I6Y 8I0                  :8
64905091Michael   Perez     1011007251033379201 University Drive, Toronto, QC, W4L 1G2              :16
64908438Thomas    Davis     2032001579627306114 First Ave, Montreal, QC, V7X 3D1                    :8
64910839Michael   Thomas    3012004876720884146 Oak Street, Montreal, QC, F4W 6N9                   :8
64916030James     Walker    1013009410108682885 University Drive, Calgary, QC, P6N 4M4              :16
64917363Maria     Martin    3023009192507178967 Oak Street, Edmonton, QC, U8X 3E5                   :8
64919578George    Williams  2036006811316916046 College Blvd, Toronto, QC, P6D 9L4                  :8
64921923Thomas    Moore     1016008837003352867 Main St, Vancouver, QC, T3C 6Q8                     :32
64923811Michael   Thomas    1022003346666102558 College Blvd, Montreal, QC, L9Q 5O7                 :24
64924410John      Hill      3033004295406259395 Campus Road, Montreal, QC, T9G 3B8                  :16
64935514Susan     Flores    2012009670371912306 Student Lane, Montreal, QC, S6Z 9X3                 :16
64947737James     Brown     1034000263737521346 Student Lane, Montreal, QC, F2Q 3Q3                 :16
64948611Andrew    Nguyen    4026007520863837047 Park Avenue, Montreal, QC, H1D 7W2                  :8
64951988Sarah     Scott     3016008831493592135 University Drive, Ottawa, QC, D4U 3U9               :8
64955525Linda     Harris    3025006817339897413 Campus Road, Edmonton, QC, Q9Q 9B4                  :8
64956965John      Wright    2014002426472959226 First Ave, Calgary, QC, R1O 2U5                     :16
64960137Maria     Torres    2016007993356445842 Student Lane, Montreal, QC, G7K 3H2                 :32
64963923Brian     Sanchez   2011000092460891669 Oak Street, Toronto, QC, O7G 1Z9                    :8
64964430Edward    Hill      3032006558381588186 College Blvd, Ottawa, QC, L4R 7K4                   :8
64991492Maria     Torres    1032001270923915718 Student Lane, Montreal, QC, Z5Q 6B4                 :8
64995879Thomas    Davis     4014008061645586981 Maple Road, Montreal, QC, U8J 6T6                   :8
64999987David     White     3036002146704496316 Student Lane, Ottawa, QC, C0Q 1E3                   :8
65001662George    Smith     4016004155567645118 Main St, Edmonton, QC, D8P 9F5                      :8
65004095Paul      Brown     2015005371744834631 College Blvd, Ottawa, QC, Z3R 0Q5                   :8
65005235Michelle  Perez     3036000162435981529 Park Avenue, Calgary, QC, S1P 7X6                   :16
65012871Jane      Perez     1012006052579009742 Maple Road, Calgary, QC, L9L 9Y3                    :32
65013139Laura     Robinson  2016008763100684972 Campus Road, Montreal, QC, U5R 6J6                  :8
65014147Kevin     Garcia    4016006908216143531 Campus Road, Montreal, QC, V3W 8V0                  :16
65022427Edward    Scott     3035009062364272177 Park Avenue, Toronto, QC, S1U 4F9                   :8
65030264Brian     Clark     4033005788688872618 Main St, Calgary, QC, E4I 8C9                       :16
65030664Edward    Allen     4031002447602772303 Campus Road, Montreal, QC, Q2I 3O3                  :8
65032276Lisa      Brown     4025004538753336620 Campus Road, Calgary, QC, W0C 7X2                   :16
65048403Jennifer  Robinson  1021009530281762403 University Drive, Ottawa, QC, D2X 5N5               :8
65058763Sarah     Jackson   1035009369649785654 University Drive, Toronto, QC, V2D 3V1              :8
65062724John      Perez     3016004510018144951 Campus Road, Toronto, QC, L1Q 1D2                   :8
65064475Linda     Scott     2032008335209481146 Oak Street, Ottawa, QC, G5R 2F3                     :16
65065285David     White     4023006694859255320 Student Lane, Edmonton, QC, K1A 3P1                 :8
65072517Rebecca   Young     4025009338221228673 College Blvd, Ottawa, QC, Y5N 3Q0                   :24
65079316Laura     Lewis     4021004726578334152 Student Lane, Calgary, QC, F4D 6O5                  :16
65080455John      Sanchez   1021004601867347925 First Ave, Calgary, QC, R1D 0D5                     :8
65081528Carol     Williams  1011005424028732185 Oak Street, Ottawa, QC, P5P 1J0                     :8
65084859Michael   Torres    3015003169631349066 Main St, Vancouver, QC, B5J 4Y3                     :16
65090004Jane      Scott     1014008752045914858 University Drive, Calgary, QC, D6Q 1E0              :8
65090164Linda     Nguyen    2016000107870148243 First Ave, Toronto, QC, O3L 6E6                     :8
65098236James     Lewis     2014004448869687896 Park Avenue, Toronto, QC, I8S 1K7                   :8
65102351Maria     Lewis     3012004713505561887 Maple Road, Montreal, QC, C8V 2K9                   :24
65103361Donna     Williams  3021002176657207719 College Blvd, Calgary, QC, G0L 3M1                  :8
65106793Lisa      Nguyen    4033008978014986488 Maple Road, Ottawa, QC, D1X 8V9                     :16
65108264William   Lee       1031005570023966865 Oak Street, Vancouver, QC, E4G 1X5                  :8
65110023Donna     Jackson   3015009826515312201 Oak Street, Edmonton, QC, B4D 1B9                   :16
65125737Paul      Thomas    3021007569160048738 Maple Road, Ottawa, QC, N7B 7H6                     :8
